All the cities in a continent organised by largest population to smallest
Moscow	 | 	Russian Federation	 | 	Moscow (City)	 | 	8389200
Sotši	 | 	Russian Federation	 | 	Krasnodar	 | 	358600
Bilbao	 | 	Spain	 | 	Baskimaa	 | 	357589
Lublin	 | 	Poland	 | 	Lubelskie	 | 	356251
Mogiljov	 | 	Belarus	 | 	Mogiljov	 | 	356000
Las Palmas de Gran Canaria	 | 	Spain	 | 	Canary Islands	 | 	354757
Murcia	 | 	Spain	 | 	Murcia	 | 	353504
Smolensk	 | 	Russian Federation	 | 	Smolensk	 | 	353400
Herson	 | 	Ukraine	 | 	Herson	 | 	353000
Iasi	 | 	Romania	 | 	Iasi	 | 	348070
Sevastopol	 | 	Ukraine	 | 	Krim	 | 	348000
Katowice	 | 	Poland	 | 	Slaskie	 | 	345934
Orjol	 | 	Russian Federation	 | 	Orjol	 | 	344500
Stavropol	 | 	Russian Federation	 | 	Stavropol	 | 	343300
Nice	 | 	France	 | 	Provence-Alpes-Côte	 | 	342738
Plovdiv	 | 	Bulgaria	 | 	Plovdiv	 | 	342584
Constanta	 | 	Romania	 | 	Constanta	 | 	342264
Belgorod	 | 	Russian Federation	 | 	Belgorod	 | 	342000
Vitebsk	 | 	Belarus	 | 	Vitebsk	 | 	340000
Kaluga	 | 	Russian Federation	 | 	Kaluga	 | 	339300
Simferopol	 | 	Ukraine	 | 	Krim	 | 	339000
Catania	 | 	Italy	 | 	Sisilia	 | 	337862
Vladimir	 | 	Russian Federation	 | 	Vladimir	 | 	337100
Zürich	 | 	Switzerland	 | 	Zürich	 | 	336800
Mahatškala	 | 	Russian Federation	 | 	Dagestan	 | 	332800
Cluj-Napoca	 | 	Romania	 | 	Cluj	 | 	332498
Bari	 | 	Italy	 | 	Apulia	 | 	331848
Galati	 | 	Romania	 | 	Galati	 | 	330276
Palma de Mallorca	 | 	Spain	 | 	Balears	 | 	326993
Tšerepovets	 | 	Russian Federation	 | 	Vologda	 | 	324400
Timisoara	 | 	Romania	 | 	Timis	 | 	324304
Bielefeld	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	321125
Cardiff	 | 	United Kingdom	 | 	Wales	 | 	321000
Ostrava	 | 	Czech Republic	 | 	Severní Morava	 | 	320041
Valladolid	 | 	Spain	 | 	Castilla and León	 | 	319998
Saransk	 | 	Russian Federation	 | 	Mordva	 | 	314800
Brasov	 | 	Romania	 | 	Brasov	 | 	314225
Craiova	 | 	Romania	 | 	Dolj	 | 	313530
Pultava [Poltava]	 | 	Ukraine	 | 	Pultava	 | 	313000
Tšernigiv	 | 	Ukraine	 | 	Tšernigiv	 | 	313000
Tambov	 | 	Russian Federation	 | 	Tambov	 | 	312000
Córdoba	 | 	Spain	 | 	Andalusia	 | 	311708
Vladikavkaz	 | 	Russian Federation	 | 	North Ossetia-Alania	 | 	310100
Tšita	 | 	Russian Federation	 | 	Tšita	 | 	309900
Tšerkasy	 | 	Ukraine	 | 	Tšerkasy	 | 	309000
Mannheim	 | 	Germany	 | 	Baden-Württemberg	 | 	307730
Coventry	 | 	United Kingdom	 | 	England	 | 	304000
Vologda	 | 	Russian Federation	 | 	Vologda	 | 	302500
Grodno	 | 	Belarus	 | 	Grodno	 | 	302000
Bonn	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	301048
Varna	 | 	Bulgaria	 | 	Varna	 | 	299801
Veliki Novgorod	 | 	Russian Federation	 | 	Novgorod	 | 	299500
Gorlivka	 | 	Ukraine	 | 	Donetsk	 | 	299000
Zytomyr	 | 	Ukraine	 | 	Zytomyr	 | 	297000
Leicester	 | 	United Kingdom	 | 	England	 | 	294000
Sumy	 | 	Ukraine	 | 	Sumy	 | 	294000
Komsomolsk-na-Amure	 | 	Russian Federation	 | 	Habarovsk	 | 	291600
Bradford	 | 	United Kingdom	 | 	England	 | 	289376
Kostroma	 | 	Russian Federation	 | 	Kostroma	 | 	288100
Belfast	 | 	United Kingdom	 | 	North Ireland	 | 	287500
Nottingham	 | 	United Kingdom	 | 	England	 | 	287000
Volzski	 | 	Russian Federation	 | 	Volgograd	 | 	286900
Brest	 | 	Belarus	 | 	Brest	 | 	286000
Århus	 | 	Denmark	 | 	Århus	 | 	284846
Taganrog	 | 	Russian Federation	 | 	Rostov-na-Donu	 | 	284400
Bialystok	 | 	Poland	 | 	Podlaskie	 | 	283937
Vigo	 | 	Spain	 | 	Galicia	 | 	283670
Petroskoi	 | 	Russian Federation	 | 	Karjala	 | 	282100
Gelsenkirchen	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	281979
Bratsk	 | 	Russian Federation	 | 	Irkutsk	 | 	277600
Venezia	 | 	Italy	 | 	Veneto	 | 	277305
Karlsruhe	 | 	Germany	 | 	Baden-Württemberg	 | 	277204
Dzerzinsk	 | 	Russian Federation	 | 	Nizni Novgorod	 | 	277100
Surgut	 | 	Russian Federation	 | 	Hanti-Mansia	 | 	274900
Orsk	 | 	Russian Federation	 | 	Orenburg	 | 	273900
Porto	 | 	Portugal	 | 	Porto	 | 	273060
Alicante [Alacant]	 | 	Spain	 | 	Valencia	 | 	272432
Ljubljana	 | 	Slovenia	 | 	Osrednjeslovenska	 | 	270986
Nantes	 | 	France	 | 	Pays de la Loire	 | 	270251
Tirana	 | 	Albania	 | 	Tirana	 | 	270000
Dniprodzerzynsk	 | 	Ukraine	 | 	Dnipropetrovsk	 | 	270000
Wiesbaden	 | 	Germany	 | 	Hessen	 | 	268716
Gijón	 | 	Spain	 | 	Asturia	 | 	267980
Sterlitamak	 | 	Russian Federation	 | 	Baškortostan	 | 	265200
Kirovograd	 | 	Ukraine	 | 	Kirovograd	 | 	265000
Angarsk	 | 	Russian Federation	 | 	Irkutsk	 | 	264700
Münster	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	264670
Strasbourg	 | 	France	 | 	Alsace	 | 	264115
Mönchengladbach	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	263697
Chemnitz	 | 	Germany	 | 	Saksi	 | 	263222
Kingston upon Hull	 | 	United Kingdom	 | 	England	 | 	262000
Hmelnytskyi	 | 	Ukraine	 | 	Hmelnytskyi	 | 	262000
Malmö	 | 	Sweden	 | 	Skåne län	 | 	259579
Messina	 | 	Italy	 | 	Sisilia	 | 	259156
Tšernivtsi	 | 	Ukraine	 | 	Tšernivtsi	 | 	259000
Czestochowa	 | 	Poland	 | 	Slaskie	 | 	257812
Verona	 | 	Italy	 | 	Veneto	 | 	255268
Augsburg	 | 	Germany	 | 	Baijeri	 | 	254867
Halle/Saale	 | 	Germany	 | 	Anhalt Sachsen	 | 	254360
Gdynia	 | 	Poland	 | 	Pomorskie	 | 	253521
Plymouth	 | 	United Kingdom	 | 	England	 | 	253000
Stoke-on-Trent	 | 	United Kingdom	 | 	England	 | 	252000
Ploiesti	 | 	Romania	 | 	Prahova	 | 	251348
Joškar-Ola	 | 	Russian Federation	 | 	Marinmaa	 | 	249200
L´Hospitalet de Llobregat	 | 	Spain	 | 	Katalonia	 | 	247986
Braunschweig	 | 	Germany	 | 	Niedersachsen	 | 	246322
Rivne	 | 	Ukraine	 | 	Rivne	 | 	245000
Granada	 | 	Spain	 | 	Andalusia	 | 	244767
Sosnowiec	 | 	Poland	 | 	Slaskie	 | 	244102
Aachen	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	243825
A Coruña (La Coruña)	 | 	Spain	 | 	Galicia	 | 	243402
Wolverhampton	 | 	United Kingdom	 | 	England	 | 	242000
Košice	 | 	Slovakia	 | 	Východné Slovensko	 | 	241874
Krefeld	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	241769
Graz	 | 	Austria	 | 	Steiermark	 | 	240967
Rybinsk	 | 	Russian Federation	 | 	Jaroslavl	 | 	239600
Krementšuk	 | 	Ukraine	 | 	Pultava	 | 	239000
Prokopjevsk	 | 	Russian Federation	 | 	Kemerovo	 | 	237300
Ivano-Frankivsk	 | 	Ukraine	 | 	Ivano-Frankivsk	 | 	237000
Derby	 | 	United Kingdom	 | 	England	 | 	236000
Ternopil	 | 	Ukraine	 | 	Ternopil	 | 	236000
Magdeburg	 | 	Germany	 | 	Anhalt Sachsen	 | 	235073
Utrecht	 | 	Netherlands	 | 	Utrecht	 | 	234323
Niznevartovsk	 | 	Russian Federation	 | 	Hanti-Mansia	 | 	233900
Kiel	 | 	Germany	 | 	Schleswig-Holstein	 | 	233795
Braila	 | 	Romania	 | 	Braila	 | 	233756
Naltšik	 | 	Russian Federation	 | 	Kabardi-Balkaria	 | 	233400
Radom	 | 	Poland	 | 	Mazowieckie	 | 	232262
Bergen	 | 	Norway	 | 	Hordaland	 | 	230948
Swansea	 | 	United Kingdom	 | 	Wales	 | 	230000
Syktyvkar	 | 	Russian Federation	 | 	Komi	 | 	229700
Severodvinsk	 | 	Russian Federation	 | 	Arkangeli	 | 	229300
Montpellier	 | 	France	 | 	Languedoc-Roussillon	 | 	225392
Bijsk	 | 	Russian Federation	 | 	Altai	 | 	225000
Gent	 | 	Belgium	 | 	East Flanderi	 | 	224180
Niznekamsk	 | 	Russian Federation	 | 	Tatarstan	 | 	223400
Oberhausen	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	222349
Oradea	 | 	Romania	 | 	Bihor	 | 	222239
Blagoveštšensk	 | 	Russian Federation	 | 	Amur	 | 	222000
Šahty	 | 	Russian Federation	 | 	Rostov-na-Donu	 | 	221800
Bobruisk	 | 	Belarus	 | 	Mogiljov	 | 	221000
Vitoria-Gasteiz	 | 	Spain	 | 	Baskimaa	 | 	217154
Lutsk	 | 	Ukraine	 | 	Volynia	 | 	217000
Trieste	 | 	Italy	 | 	Friuli-Venezia Giuli	 | 	216459
Southampton	 | 	United Kingdom	 | 	England	 | 	216000
Bordeaux	 | 	France	 | 	Aquitaine	 | 	215363
Bila Tserkva	 | 	Ukraine	 | 	Kiova	 | 	215000
Staryi Oskol	 | 	Russian Federation	 | 	Belgorod	 | 	213800
Lübeck	 | 	Germany	 | 	Schleswig-Holstein	 | 	213326
Espoo	 | 	Finland	 | 	Newmaa	 | 	213271
Aberdeen	 | 	United Kingdom	 | 	Scotland	 | 	213070
Santa Cruz de Tenerife	 | 	Spain	 | 	Canary Islands	 | 	213050
Kielce	 | 	Poland	 | 	Swietokrzyskie	 | 	212383
Gliwice	 | 	Poland	 | 	Slaskie	 | 	212164
Padova	 | 	Italy	 | 	Veneto	 | 	211391
Badalona	 | 	Spain	 | 	Katalonia	 | 	209635
Bacau	 | 	Romania	 | 	Bacau	 | 	209235
Taranto	 | 	Italy	 | 	Apulia	 | 	208214
Zelenograd	 | 	Russian Federation	 | 	Moscow (City)	 | 	207100
Rennes	 | 	France	 | 	Haute-Normandie	 | 	206229
Torun	 | 	Poland	 | 	Kujawsko-Pomorskie	 | 	206158
Balakovo	 | 	Russian Federation	 | 	Saratov	 | 	206000
Bytom	 | 	Poland	 | 	Slaskie	 | 	205560
Hagen	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	205201
Debrecen	 | 	Hungary	 | 	Hajdú-Bihar	 | 	203648
Novorossijsk	 | 	Russian Federation	 | 	Krasnodar	 | 	203300
Rostock	 | 	Germany	 | 	Mecklenburg-Vorpomme	 | 	203279
Freiburg im Breisgau	 | 	Germany	 | 	Baden-Württemberg	 | 	202455
Klaipeda	 | 	Lithuania	 | 	Klaipeda	 | 	202451
Eindhoven	 | 	Netherlands	 | 	Noord-Brabant	 | 	201843
Pihkova	 | 	Russian Federation	 | 	Pihkova	 | 	201500
Erfurt	 | 	Germany	 | 	Thüringen	 | 	201267
Charleroi	 | 	Belgium	 | 	Hainaut	 | 	200827
Oviedo	 | 	Spain	 | 	Asturia	 | 	200453
Zabrze	 | 	Poland	 | 	Slaskie	 | 	200177
Zlatoust	 | 	Russian Federation	 | 	Tšeljabinsk	 | 	196900
Kassel	 | 	Germany	 | 	Hessen	 | 	196211
Northampton	 | 	United Kingdom	 | 	England	 | 	196000
Tampere	 | 	Finland	 | 	Pirkanmaa	 | 	195468
Jakutsk	 | 	Russian Federation	 | 	Saha (Jakutia)	 | 	195400
Móstoles	 | 	Spain	 | 	Madrid	 | 	195351
Burgas	 | 	Bulgaria	 | 	Burgas	 | 	195255
Tiraspol	 | 	Moldova	 | 	Dnjestria	 | 	194300
Podolsk	 | 	Russian Federation	 | 	Moskova	 | 	194300
Petropavlovsk-Kamtšatski	 | 	Russian Federation	 | 	Kamtšatka	 | 	194100
Tilburg	 | 	Netherlands	 | 	Noord-Brabant	 | 	193238
Elche [Elx]	 | 	Spain	 | 	Valencia	 | 	193174
Dudley	 | 	United Kingdom	 | 	England	 | 	192171
Brescia	 | 	Italy	 | 	Lombardia	 | 	191317
Le Havre	 | 	France	 | 	Champagne-Ardenne	 | 	190905
Kamensk-Uralski	 | 	Russian Federation	 | 	Sverdlovsk	 | 	190600
Portsmouth	 | 	United Kingdom	 | 	England	 | 	190000
Uppsala	 | 	Sweden	 | 	Uppsala län	 | 	189569
Split	 | 	Croatia	 | 	Split-Dalmatia	 | 	189388
Newcastle upon Tyne	 | 	United Kingdom	 | 	England	 | 	189150
Engels	 | 	Russian Federation	 | 	Saratov	 | 	189000
Linz	 | 	Austria	 | 	North Austria	 | 	188022
Reims	 | 	France	 | 	Nord-Pas-de-Calais	 | 	187206
Pitesti	 | 	Romania	 | 	Arges	 | 	187170
Syzran	 | 	Russian Federation	 | 	Samara	 | 	186900
Kramatorsk	 | 	Ukraine	 | 	Donetsk	 | 	186000
Grozny	 | 	Russian Federation	 | 	Tšetšenia	 | 	186000
Liège	 | 	Belgium	 | 	Liège	 | 	185639
Sabadell	 | 	Spain	 | 	Katalonia	 | 	184859
Lille	 | 	France	 | 	Rhône-Alpes	 | 	184657
Arad	 | 	Romania	 | 	Arad	 | 	184408
Novotšerkassk	 | 	Russian Federation	 | 	Rostov-na-Donu	 | 	184400
Santander	 | 	Spain	 | 	Cantabria	 | 	184165
Odense	 | 	Denmark	 | 	Fyn	 | 	183912
Saarbrücken	 | 	Germany	 | 	Saarland	 | 	183836
Sunderland	 | 	United Kingdom	 | 	England	 | 	183310
Mainz	 | 	Germany	 | 	Rheinland-Pfalz	 | 	183134
Luton	 | 	United Kingdom	 | 	England	 | 	183000
Pireus	 | 	Greece	 | 	Attika	 | 	182671
Jerez de la Frontera	 | 	Spain	 | 	Andalusia	 | 	182660
Berezniki	 | 	Russian Federation	 | 	Perm	 | 	181900
Hamm	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	181804
Pamplona [Iruña]	 | 	Spain	 | 	Navarra	 | 	180483
Bielsko-Biala	 | 	Poland	 | 	Slaskie	 | 	180307
St-Étienne	 | 	France	 | 	Bretagne	 | 	180210
Swindon	 | 	United Kingdom	 | 	England	 | 	180000
Novi Sad	 | 	Yugoslavia	 | 	Vojvodina	 | 	179626
Reggio di Calabria	 | 	Italy	 | 	Calabria	 | 	179617
Donostia-San Sebastián	 | 	Spain	 | 	Baskimaa	 | 	179208
Juzno-Sahalinsk	 | 	Russian Federation	 | 	Sahalin	 | 	179200
Vantaa	 | 	Finland	 | 	Newmaa	 | 	178471
Volgodonsk	 | 	Russian Federation	 | 	Rostov-na-Donu	 | 	178200
Cartagena	 | 	Spain	 | 	Murcia	 | 	177709
Modena	 | 	Italy	 | 	Emilia-Romagna	 | 	176022
Southend-on-Sea	 | 	United Kingdom	 | 	England	 | 	176000
Herne	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	175661
Niš	 | 	Yugoslavia	 | 	Central Serbia	 | 	175391
Walsall	 | 	United Kingdom	 | 	England	 | 	174739
Mülheim an der Ruhr	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	173895
Geneve	 | 	Switzerland	 | 	Geneve	 | 	173500
Leganés	 | 	Spain	 | 	Madrid	 | 	173163
Groningen	 | 	Netherlands	 | 	Groningen	 | 	172701
Turku [Åbo]	 | 	Finland	 | 	Varsinais-Suomi	 | 	172561
Prato	 | 	Italy	 | 	Toscana	 | 	172473
Miskolc	 | 	Hungary	 | 	Borsod-Abaúj-Zemplén	 | 	172357
Fuenlabrada	 | 	Spain	 | 	Madrid	 | 	171173
Olsztyn	 | 	Poland	 | 	Warminsko-Mazurskie	 | 	170904
Sibiu	 | 	Romania	 | 	Sibiu	 | 	169611
Abakan	 | 	Russian Federation	 | 	Hakassia	 | 	169200
Almería	 | 	Spain	 | 	Andalusia	 | 	169027
Melitopol	 | 	Ukraine	 | 	Zaporizzja	 | 	169000
Parma	 | 	Italy	 | 	Emilia-Romagna	 | 	168717
Terrassa	 | 	Spain	 | 	Katalonia	 | 	168695
Rijeka	 | 	Croatia	 | 	Primorje-Gorski Kota	 | 	167964
Maikop	 | 	Russian Federation	 | 	Adygea	 | 	167300
Baranovitši	 | 	Belarus	 | 	Brest	 | 	167000
Plzen	 | 	Czech Republic	 | 	Zapadní Cechy	 | 	166759
Basel	 | 	Switzerland	 | 	Basel-Stadt	 | 	166700
Ruse	 | 	Bulgaria	 | 	Ruse	 | 	166467
Miass	 | 	Russian Federation	 | 	Tšeljabinsk	 | 	166200
Cagliari	 | 	Italy	 | 	Sardinia	 | 	165926
Solingen	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	165583
Târgu Mures	 | 	Romania	 | 	Mures	 | 	165153
Armavir	 | 	Russian Federation	 | 	Krasnodar	 | 	164900
Osnabrück	 | 	Germany	 | 	Niedersachsen	 | 	164539
Alcalá de Henares	 | 	Spain	 | 	Madrid	 | 	164463
Ljubertsy	 | 	Russian Federation	 | 	Moskova	 | 	163900
Ludwigshafen am Rhein	 | 	Germany	 | 	Rheinland-Pfalz	 | 	163771
Burgos	 | 	Spain	 | 	Castilla and León	 | 	162802
Rubtsovsk	 | 	Russian Federation	 | 	Altai	 | 	162600
Rzeszów	 | 	Poland	 | 	Podkarpackie	 | 	162049
Bournemouth	 | 	United Kingdom	 | 	England	 | 	162000
Kertš	 | 	Ukraine	 | 	Krim	 | 	162000
